Sentence,Sentiment
company listed nordic exchange helsinki,neutral
pypl great vol flow trade love company long time,positive
v potential bearish shark pattern point b taken http stks co iggh,negative
operating profit turnover nine month period increased respectively eur eur compared corresponding period year ago,positive
order comprises four ball mill organized two different stream treating ore pilanesberg platinum mine,neutral
alma medium corporation press release march tyrv ä än sanomat purchase confirmed business operation tyrv ñ ñn sanomat oy transferred suomen paikallissanomat oy,neutral
productional situation improved,positive
ssh communication security corporation headquartered helsinki finland,neutral
full company expects net sale operating result improve previous year saying positive operating result amount depend order intake end summer,positive
operating margin however slipped dragged poor performance enterprise solution,neutral
finnish metal product company componenta oyj net profit rose mln euro mln first quarter mln euro mln period,positive
today close long tsla amtd twtr fb aapl celg longer term technical swing long basis,positive
acquired business main asset mobile authentication signing solution branded tectia mobileid provides authentication web e mail ssl vpn m sharepoint tectia secure solution application resource,neutral
report examines medical equipment business structure operation history product provides analysis key medical equipment revenue line,neutral
adpnews aug finnish medium group ilkka yhtyma oyj hel ilk said today net profit fell year eur million usd first half,neutral
new technology improves glass quality consistency increasing throughput,positive
london marketwatch nokia nok said five year service contract run hutchison essar network operation nine location india,positive
soullor regular scrappy q swy usually present sale weak margin debt still way,negative
operating profit margin compared year earlier,negative
consolidated net sale increased reach eur operating profit amounted eur compared loss eur prior year period,positive
finnish forest machinery manufacturer ponsse issued profit warning,neutral
enterprise value fray bentos pulp mill forestal oriental total approximately euro billion upm said,neutral
rental building equipment accounted percent operating income,neutral
measure result weak demand shipbuilding industry,negative
may companiesandmarkets com delivered newstex report provides key data information meat fish poultry market finland,neutral
addition demand finland export lining stone product also increased,positive
current reference grade instrument challenging operate due high price complexity routine use,negative
already allocated money inventory,neutral
total talvivaara mining company plc new share subscribed period may june company stock option right,neutral
eur usd finding support near level ero uup udn fxe http stks co beu,positive
annual value contract estimated usd mn next three year,neutral
addition launch versatile online service complete traditional printed newspaper mr valkama say,neutral
company said operation sold newly established company cps gmbh present management plastic business co owner,neutral
finnish metal product company componenta oyj net profit went slightly mln euro mln first half mln euro mln period,neutral
marketsbp promotes upstream bos deputy ceo,neutral
britain ftse bounce back mondi barratt lead,positive
loudeye corp nokia corp cent nokia agreed buy digital music distributor million,neutral
ragutis controlled finnish brewery olvi achieved percent rise beer sale million liter held percent market share,positive
finnair said cancellation flight would cause daily loss xac million u million,negative
energy sector accounted approximately steel industry transportation volume,neutral
megawatt wind farm planned raahe would built offshore front ruukki raahe work,neutral
australian company mirabela nickel awarded outokumpu technology contract grinding technology nickel sulfide project bahia state brazil,positive
standard chartered rb escape capital raising stress test,positive
operating profit half glisten invested brand management team,negative
expansion finalized autumn,neutral
finnish konecranes trying acquire italian fantuzzi manufacturer gantry crane reach stacker,neutral
p central office nordea bank ya ulitsa yamskogo polya building telephone ext unimilk egm xvi international business summit food business russia take place,neutral
adpnews feb finland based steel maker rautaruukki oyj hel rtrks ruukki said today slipped larger expected pretax loss eur million usd fourth quarter,negative
company expects net sale increase,positive
evraz group share owned lanebrook whose beneficiary one hand millhouse holding company asset billionaire roman abramovich business partner evraz executive alexander abramov alexander frolov,neutral
margarine business put good shape last two year making natural addition bunge looking leverage position central northern european market raisio ceo matti rihko said statement,positive
loyal customer found bank àland index,positive
tesco break downward slide cutting sale decline half,positive
eriikka âderstr âm previously held several position finance control nokia network including acting business group controller corporate controller position nokia siemens network,neutral
pricing detail disclosed,neutral
long aapl,positive
salonen added data show producer pulp inventory north america declining,neutral
finnish consultancy satama interactive oyj posted net profit mln euro mln first nine month compared net loss euro period,positive
consisting seven interconnected unit mega image logistics center metre length metre height,neutral
tesco plc recovery continues â£m cash infusion,positive
kesko store engaged chain operation nordic baltic country russia belarus,neutral
trouble brewing legal general group plc aviva plc,negative
helsinki based componenta bought turkish listed company doktas october million euro making largest finnish investment turkey date,neutral
ecb mainly target inflation,neutral
operating profit totaled eur mn eur mn corresponding period,negative
group said intends initiate within year process buyout minority shareholder ragutis aim becoming sole owner company,neutral
initially company said maximum people would made redundant parent company subsidiary,neutral
contract incorporates convergent charging rating solution voice data includes internet gprs sm mm wap,neutral
astrazeneca lung cancer drug tagrisso get fda approval,positive
customer include company energy process industry sector particular,neutral
europe however remains important strong market u,neutral
morrison debenhams surprise city christmas bounce back,positive
ongoing project tekla structure used vashi exhibition centre developed insteel engineer pvt ltd iivrcl infrastructure project ltd cidco,neutral
talentum expects net sale core business increase compared,positive
operating profit half glisten invested brand management team,neutral
total annual revenue come mln zloty mln mln euro,neutral
corresponding increase share capital eur entered trade register today,neutral
group ebit first half eur u falling short eur posted period,neutral
relation city damaged comment mr ashley criticising city investor analyst cry baby,negative
engine electrical output kw making largest gas powered generating set world,neutral
pretax profit totaled eur mn compared eur mn first quarter,negative
recently founded virent energy system inc person catalytic biofuels company president ceo led company multiple financing defined company market strategy secured company first customer,neutral
addus service include personal care assistance activity daily living skilled nursing rehabilitative therapy adult day care,neutral
tripadvisor jump rumor http co olwcdxmbr trip,positive
finnish civil aviation administration decided temporarily reopen finnish capital helsinki airport since p p monday local time,neutral
reporting accordance merged business operation start january,neutral
earnings per share eps first quarter amounted eur eur,positive
finnlines estimated annual general meeting financially tough year due large investment,negative
meanwhile minority shareholder expecting teliasonera retain bid sell share,neutral
external net sale printing business fell partly due termination printing contract ilkka yhtyma printing house print oy sector player hs medium ab december fall printing price,negative
operating profit eur mn compared loss eur mn corresponding period,positive
word street allergen looking endo international failed pfizer merger may call active endp,positive
fbr capital reiterated outperform rating brcm price target friday,positive
metal zinc surge pct glencore cut output fuelling metal rally,positive
profit period fell eur mn eur mn january september,negative
worth investing tesco plc prudential plc,positive
finland finnish pharmaceutical company orion corporation omx helsinki ornav said wednesday january concluded personnel negotiation finland reduce number personnel,neutral
finnish retailer stockmann approval board swedish rival lindex public tender offer aim expanding company presence russia cee country stockmann said monday,positive
release company said vocollect customer north america take advantage voice directed warehousing solution increase warehouse efficiency productivity gain discounted price,positive
niklas skogster employed abb group various position concerning development operation,neutral
operating profit excluding non recurring item totaled eur mn eur mn corresponding period,negative
finnish metso paper awarded contract rebuild sabah forest industry sfi pulp mill sabah malaysia,positive
ruukki forecast annual sale growth positive pretax result,positive
price gmo soy lower non gmo,neutral
finland nokian tyre kazakhstan ordabasy corporation signed agreement build plant astana produce car tire ordabasy chairman dinmukhamet idrisov said press conference,positive
sale billion last twelve month ending october store state dollar general nation largest small box discount retailer,neutral
get midnighttrader realtime report delayed,neutral
danish company flsmidth acknowledged violated patent held finnish metso,negative
share issue derogating pre emptive right shareholder comprising six million new share market price offered subscription shareholder holder capital note professional client,neutral
tielinja generated net sale mln euro mln,neutral
karachi sept ixonos world leader development integration solution handheld device announced implementing touch screen mobile user interface solution intel atom processor zxx based smartphones,neutral
neste oil working research community europe america africa asia australia develop introduce new raw material,positive
new agreement expands long established cooperation company involves transfer certain engineering documentation function larox etteplan,positive
not,neutral
took endp long using vwap guide,positive
despite sale growth uk tesco caution recovery bumpy,neutral
finland metal sector company componenta laying temporarily staff pori mill christmas till january,neutral
middle east north africa tecnotree grown considerably recent year,positive
operating profit net sale six month period increased respectively eur eur compared corresponding period,positive
insurer axa par c slid eur citigroup ing slashed target stock,neutral
order value eur mn consists design service hardware software licence,neutral
scanfil also issued profit warning,negative
spokesman said food store center subject council local support could comprise supermarket smaller store niche outlet firmed following consultation council local community regarding appropriate us occupier,neutral
bond value eurm maturity year,neutral
millercoors board name gavin hattersley interim ceo,neutral
airbus attempt evacuate people within second,neutral
first quarter underlying operating profit rose mln eur mln year earlier,positive
eps quarter eur compared eur third quarter representing group net sale third quarter eur compared eur third quarter,positive
royal dutch shell profit rise dividend,positive
meanwhile electrowatt ekono philippine inc also awarded three year operation maintenance contract fr cement corporation,positive
agreement includes application maintenance support service,neutral
nokia interested bring nokia market,neutral
affecto expects net sale whole increase level reached eur million,positive
report profile company including many key niche player including major nonwovens manufacturer ahlstrom corporation asahi kasei corporation buckeye technology inc ei,neutral
lay offs affect people total okmetic employee finland,negative
acquisition elektros pavara completes kone market expansion strategy baltic country,positive
may finnish electronics producer elcoteq se hel elqav said today signed extensive cooperation agreement industrialisation manufacturing distribution market service mobile phone japan sharp tyo,positive
morrison book second consecutive quarter sale growth,positive
marimekko today november signed license agreement swedish chain whereby marimekko license popular pattern h,positive
quick fio market tanking scaling longs,negative
announcement pushed freenet share eur frankfurt trade eur investor gave hope united internet ag drillisch would pursue takeover breakup freenet,negative
finnish telecom software developer tecnomen oyj said december mln mln euro order supply expansion charging messaging system mobile fixed network brasil telecom,positive
companiesunilever sale lifted ice cream soft economy,positive
eps dropped eur eur,negative
saltwaternurse ino test next day time take profit hedge put,negative
financial information provided,neutral
easyjet attracts passenger june still lag ryanair,positive
morning agenda shire deal np,positive
metso supply equipment two process line northland resource new kaunisvaara iron ore project sweden exploit tapuli sahavaara iron ore deposit,positive
agreement biohit becomes focus supplier pipettors disposable pipettor tip vwr customer throughout europe,positive
company previous estimate lower revenue year ago eur million,neutral
earnings per share eps dropped eur eur,negative
bid offer include least share value share must correspond least eur,neutral
earnings per share eps amounted loss eur,neutral
netapp downgraded macquarie underperform pt http co xcngwstq ntap ntap via ratingsnetwork,negative
russia ready participate open tender lattelecom privatization,neutral
technopolis st petersburg government signed cooperation memorandum october set techno park neudorf production zone village strelny st petersburg suburb,positive
owner participated business operation company continue poyry employment transaction,neutral
goal secure company profitability competitiveness,neutral
however company saw net profit third quarter eur million eur million corresponding period,negative
neste oil board proposed eur dividend full year compared eur year ago,positive
basware einvoices oy merged parent company present fiscal period,neutral
fintech provider cafn cachet financial solution surging forward today post earnings http co bjcski jkhy fisv momo,positive
kemira installation nordalu producing ton liquid solid aluminum waste per year,neutral
chartered accountant british columbia alberta well certified public accountant washington state,neutral
recommendable nokian z g according adac judgement latest summer tyre test german automobile association adac,positive
group ¦ result tax loss eur million,neutral
cash flow operating activity investment eur million,neutral
viking line canceled service,negative
exel headquartered mantyharju finland,neutral
stora chief executive jouko karvinen described russian tariff hike threat future forest product industry finland,negative
barclays bank america citigroup blockchain sight,positive
google inc completes acquisition icoa inc http stks co nfei icoa goog,positive
tsla looking good love see basing action letting rsi take breather http stks co gtc,positive
finnish plumbing heating system supplier uponor net sale continuing operation decreased eur mn eur mn,neutral
location make mall convenient place shop consumer three large residential area nearby jaroszowka wysockiego zgody,positive
finnish insurance company fennia kesko group ending loyal customer cooperation,negative
casing comprises first side casing member provided first side vat segment second side casing member provided second side vat segment least first side casing member pivotable rotation axis,neutral
finland based elcoteq se privately held provider electronics manufacturing service communication company said thursday signed long term manufacturing supply deal communication equipment company andrew corp,positive
q bank àland net interest income weakened eur mn,neutral
rb pay billion scrap u k treasury dividend right,neutral
increased trust client yit seen apartment sale accelerated,positive
talvivaara mining company plc talvivaara mining company internationally significant base metal producer primary focus nickel zinc using technology known bioheapleaching extract metal ore,neutral
operating profit lower outlook published earlier,neutral
le ten people face pension agreement,neutral
company consolidated operating profit amounted eur mn eur mn year year,positive
astrazeneca buy z pharma billion,positive
finnish waste management cleaning group lassila tikanoja oyj l net profit went mln euro mln mln euro mln,negative
operating margin aker yard cruise ferry division went first quarter,neutral
helsinki thomson financial share cargotec fell sharply early afternoon trade cargo handling group posted surprise drop april june profit overshadowed large number new order received three month,negative
program target structural cost reduction eur mn,positive
tool specifically designed need business user ict expert mind,neutral
ahlstrom corporation seppo parvi cfo distribution main medium www ahlstrom com ahlstrom brief ahlstrom global leader development manufacture marketing high performance nonwovens specialty paper,neutral
prior transaction whose financial term not disclosed alma medium owned kotikokki net,neutral
ctrp not bad long chart sma resistance,positive
merger upm finnish swedish stora enso not likely either,neutral
hyg potential continuation uptrend chart http stks co tqp,positive
peroni grolsch put sale ab inbev plan acquisition sabmiller,positive
operating profit nine month period increased eur net sale increased eur compared corresponding period,positive
beer differ slightly mainstream beer,neutral
financial detail n disclosed,neutral
separately yit corporation austrian firm e ag last week signed agreement sale e building system service business germany austria poland czech republic hungary romania eur mln,positive
finnish aluminium product manufacturer nordic aluminium plc omx helsinki noav reported monday august operating profit eur net sale eur period january june,neutral
temporary lay offs affecting entire workforce also implemented,neutral
southfield mich central corporate credit union distribute patronage dividend member waiving service fee incurred month july november tune estimated million,positive
sale rose pct mln eur back strong volume favourable currency effect,positive
choose giant countdown red head rainbow trout giant shad rap perch color,neutral
russian export duty activate harvesting finland sale russia increase also,positive
finnish electronics manufacturing service em company elcoteq se posted net loss mln euro mln first half compared net profit mln euro mln period,negative
preliminary estimate hotel operate brand novotel,neutral
credit november finnish glass technology company glaston oyj abp hel glav said today concluded eurm revolving credit facility agreement core bank,positive
end day scan bullish crossover bbva pd ntls ngl sbrcy fgl mtnoy ttt www dailystockplays com,positive
tvo two unit mw olkiluoto plant generated twh operating ratio across reactor company described high international standard,neutral
turun kaupunkin finland based company awarded contract lemminkainen talotekniikka oy electrical installation work,positive
finnair total traffic decreased term revenue passenger kilometre,neutral
consolidated pretax profit decreased eur mn eur mn,negative
gild support ibb bib http co gioofzbkv,positive
wore black beanie type cap black jacket,neutral
finnish developer manufacturer mobile phone charger salcomp plc omx helsinki salv wednesday november lowered full year net sale estimate,neutral
basware corporation stock exchange release august basware signed large deal international industrial group basware deliver invoice automation solution connectivity service international industrial group,positive
delivery start second half start mill scheduled,neutral
cash flow operation recent quarter also reached eight year low,negative
mn pretax profit eur mn eur mn third quarter,positive
tikkurila inspires color life,neutral
isrg trading time high strong earnings report day short interest,positive
october upm reported third quarter net loss euro million million compared net profit euro million,neutral
tesco share jump christmas sale beat expectation,positive
potential acquirer cencorp corporation related entity sav owing sav cencorp subsidiary finnish savcor group oy,neutral
yit baltic sale first three quarter totaled million euro representing drop percent year year,neutral
net loss period euro million,neutral
also cba issue benchmark year fixed rate deal euro,neutral
aspo group structure business operation developed persistently without predefined schedule,neutral
loss period totalled eur mn compared profit eur mn,neutral
shell buy bg group billion takeover,positive
bbry hearing rumour major joint venture announcement,positive
philip not available comment report,neutral
sony ericsson nokia dominated list best selling handset five model,positive
repeat order follow successfully installed elevator delhi metro system kone spokeswoman told thomson financial news,positive
operating profit kauppalehti group rose eur mn eur mn marketplace eur mn eur mn third quarter,positive
work include laying natural stone pavement installation underground heating surface water drainage system,neutral
profit tax eur mn compared eur mn previous year,positive
currently terminator lure produced subcontract facility mexico manufacturing transferred rapala factory shenzhen china,neutral
change market situation tougher price competition substantially reduced demand bread packaging manufactured kauhava plant according company,neutral
adp news feb finnish broadband data communication system solution company teleste oyj hel tltv said today net profit decreased eur million usd eur million,negative
helsinki afx share closed higher led nokia announced plan team sanyo manufacture g handset nokian tyre fourth quarter earnings report beat analyst expectation dealer said,positive
finnish navigation device manufacturer benefon changing name geosentric report net sale eur mn second quarter,neutral
le coq market share percent rival beverage group saku percent,neutral
particular attention paid energy efficiency construction building designed meet requirement energy class b leed certification applied,neutral
today orange scissors iconic symbol excellent ergonomic design superior quality associated every product fiskars,neutral
close omx helsinki pct lower point omx helsinki pct point bln eur turnover,neutral
tallink claim watertight door vana tallinn regina baltica including electrical system fully working order,positive
resulted improved sale figure sweden,positive
arrangement not apply group unit outside finland,neutral
operating profit eur mn compared eur mn,neutral
rbi surprise street sensex pares gain hitting mount k,negative
adp news sep finnish security privacy software solution developer stonesoft oyj said today usd million eur order deliver stonegate network security product unnamed russian te,positive
tieto service also used send process receive material related absentee voting,neutral
finland based stockmann group closed seven franchising sport store nike russia,negative
whitbread profit sale continue rise looking new ceo,positive
aspocomp repaid interest bearing liability standard chartered bank use rest consideration partially repay interest bearing liability finland improve liquidity,positive
fastenal miss miss revenue fast nyse http co jhqpwmn,negative
finnish investment group norvestia oyj said net profit fell mln euro mln mln euro mln,neutral
commission found evidence several meeting discus cartel including one brussels restaurant november company discussed price increase,neutral
part reorganisation measure take place spring tamglass finton start personnel negotiation affect entire staff,neutral
corrensponds percent okmetic share capital voting right,neutral
tim cockroft brings excellent track record year experience moreover tim successfully developed capital market operation kaupthing singer friedlander involving corporate finance broking focus mid market company,positive
november finnish paint coating company tikkurila oyj hel tikv said today finnish state owned investment company solidium oy sold stake company total eurm,neutral
runway visual range calculated assessment distance pilot see runway,neutral
abn amro capital agreed sell helsinki based designer homeware producer iittala oyj crosstown consumer product group fiskars corp eur million eur million million million,neutral
feed company suomen rehu raisio import gmo feed,neutral
tecnomen solution used prepaid post paid billing charging rating voice video call data traffic kind content service mobile fixed network,neutral
performance based value sustainability,neutral
biohit said reduce number leased personnel lay personnel,neutral
gevo plunging back,negative
company net profit rose year million euro sale million euro year company said earlier,positive
earnings per share eps amounted eur,neutral
ingenious hsbc ubs coutts sued tax avoidance client,negative
purchase agreement ton gasoline delivery hamina terminal finland signed neste oil oyj average platts index september plus eight u dollar per month,positive
short atvi,negative
pkt momentum building breakout trigger long setup http stks co exvu,positive
platform would continue development framework symbian meego,neutral
may finnish company lemminkainen oyj hel lem said today construct office building toolonlahti downtown helsinki without disclosing financial detail,neutral
final price specified may acquiring company said,neutral
nordea pankki suomi oyj according previously announced made forward contract alma medium corporation share,neutral
profit tax eur mn eur mn,neutral
report oriola kd chief executive officer eero hautaniemi,neutral
cutting number plant group trim fixed cost,positive
sina even though report untrue proven unture damage done one want touch,negative
merkel government said support deutsche boerse lse merger,positive
operating profit declined mainly due increased cost wood recycled fiber strengthened euro,neutral
companiestesco bad start xmas â€ “ kantar,negative
capacity facility made finland vaahto group ton light coated paper,neutral
march goldman sachs estimate negative prospect norwegian mobile operation norway telenor asa osl tel sweden teliasonera ab sto tlsn short term,neutral
steek set based bordeaux southwestern france,neutral
president ceo mika vehvil ñinen say positive sign first foremost emerging outside finland,positive
finnish construction group lemmink ñinen awarded two road building contract lithuanian transport administration,positive
according eijkens publisher much publish colourful book publisher provide value added information individualising,neutral
finnish silicon wafer technology company okmetic oyj omx helsinki okmv said wednesday september invest eurm sensor wafer business,neutral
rad would consider opportunity add position company right track still improving sale,positive
low capacity utilisation rate steel production considerably increase fixed cost per unit steel produced,neutral
work assignment already started due completion spring,neutral
progress group qpr representative saudi arabia north africa signed framework agreement long term strategic relationship ise,positive
finnish bank àland report operating profit fell eur mn third quarter eur mn third quarter,negative
finnish kemira net sale eur decreased eur mn january june eur mn january june,neutral
financial term not disclosed,neutral
company may time possession one tenth share maximum,neutral
value order eur mn,neutral
recap msft rumor morning spinning xbox unit stock grind day close high,positive
according finnish metso mineral value company order gone eur bn month,positive
therefore company result remain weaker,neutral
breakingviews iag pay aer lingus,positive
pine oil project related upgrade chemical recovery plant upm pulp mill kymi southern finland,neutral
standard chartered shift emerging market strategy loss,negative
ab inbev sell sabmiller stake china snow beer,neutral
marubeni group focus creating value chain upstream downstream encompassing wide variety business field including oil gas metal mineral resource food pulp paper chemical among others,neutral
based upon unique fiber expertise innovative approach company strong market position several business area operates,positive
personnel expertise high level technology play major role exel composite operation,neutral
coca cola market leader manufacturer market share corresponding period,negative
metsa botnia sell stake uruguayan company metsaliitto,neutral
aviva weighs cash handout beating profit forecast,positive
tesla recall model x suv seat issue http co odpranxq tsla http co xvnbliwpy http co thfvwtnrps,negative
bovine slaughtering cutting kuopio facility transferred kauhajoki slaughterhouse,neutral
adjustment fall price level contrast le effective,neutral
okmetic global customer base sale network production plant finland u contract manufacturer japan china,neutral
public service also available,neutral
asian traffic declined per cent,neutral
finnish swedish construction market still experiencing estimated annual growth,positive
stock exchange release sanoma published annual report financial statement first corporate responsibility report,neutral
company target sale l mn l mn profit l l,neutral
takeover cramo become second largest rental service provider latvian market,positive
ruukki restructuring commercial industrial construction operation pursuit permanent improvement whilst adjusting operation market condition,neutral
projected revenue billion billion slightly higher analyst estimate billion,positive
brokerage said seen true turning point european steel base price better pricing seen carrying second quarter,positive
operating profit fourth quarter fell eurm eurm year earlier,negative
jd hour market anyone care explain,negative
operating profit totalled eur mn eur mn year year,positive
brief aviva aim increase dividend pay ratio pct,positive
expe working second leg reversal run break another trend continues higher http co dsjysyr,positive
geosentric acquiring extra financing issuing maximum new share convertible bond subscription right share fully subscribed,neutral
adbe technical alert expansion breakout gilligan island sell setup volume surge new http co lxxtknfh,positive
iwm condition sent market tumble hitting week,negative
aapl near drop thats lot best hold er lol,negative
operating profit improved eur mn eur mn,positive
dec grimaldi acquired million share percent stake finnlines,neutral
shire proposes bln share tie baxalta,positive
last july group said intended relocate warehouse office space loudeac saint marcel morvillars east france already operates hook manufacturing distribution unit,neutral
pohjola cooperative bank continued combine branch office network,neutral
prothious engineering www prothious com employ large portfolio project annual detailing capacity tonne,neutral
qualcomm estimated first quarter profit cent share excluding certain item analyst estimate cent share,neutral
liquidity providing interrupted may aspocomp group oyj share traded cent aspocomp stock exchange release,negative
subscription period amer sport warrant scheme end december,neutral
transaction also rationalize pulp paper industry related solution,positive
schwalm outotec com eila paatela vice president corporate communication tel mobile e mail eila,neutral
looking forward contribute srv success competence say taneli hassinen,positive
fourth quarter net sale decreased eur mn eur mn fourth quarter,neutral
astrazeneca medimmune ink licensing deal omnis pharmaceutical,positive
order intake grew year year year year respectively eur million eur billion respective january september july september period,positive
strike finnair estimate incur net loss eurm eur per day,negative
currently trainer house revenue attributed finnish market,neutral
oxyview pulse oximeter common device check patient blood oxygen saturation level pulse rate,neutral
russian gas giant invested another million litas company late owns percent stock capital amount million litas,neutral
company use money product development research activity key market finland germany italy france,neutral
partnership finnish paulig danish subsidiary oscar puljonki acquired sale organization european market,neutral
finnish oko bank signed cooperation agreement raiffeisen concerning finnish company investment russia,positive
finnish bank alandsbanken said monday buy swedish operation iceland troubled kaupthing bank million kronor million cash,neutral
export grew percent million liter,positive
digia said consolidated net sale january june eur period eur,positive
company employing reported net sale mln euro mln,neutral
trlpc crh back lafarge holcim asset buy bln euro bridge loan,positive
g see profit rise uk contract problem remain,positive
office space rise remodeled cannon street underground station,neutral
according original merger plan scanfil would get stake combined business,neutral
result company temporarily lay whole personnel approximately person kirkkonummi nivala factory,negative
kone received order aker yard supply customised elevator first genesis cruise ship scheduled completed,positive
service also enables user watch e mail html format en enhanced addition language choose,neutral
previously grimaldi held pct stake finnish company following takeover bid launched november,neutral
update auto trader share leap uk biggest private equity backed listing,positive
far known not sell share owns personally,neutral
adpnews oct finland based consultancy tieto oyj hel tiev said today net profit plunged eur million usd first nine month eur million period,neutral
corresponding increase euro ahlstrom share capital entered trade register today,neutral
following strategy tikkurila established fully owned sale company tikkurila almaty kazakhstan marketing decorative paint finnish tikkurila brand russian teks brand,neutral
related link flexiblebaseloadoperation thewartsilagenerating set gasconversions shorter two version press release,neutral
inventor bylander johan ponten fredrik lundberg jorgen,neutral
inventor mukkavilli krishna kiran sabharwal ashutosh aazhang behnaam,neutral
third quarter net sale increased year year eur comparable currency rate growth,positive
network test business part elektrobit test automation business segment employ people finland people abroad mainly u asia,neutral
fair value investment property totaled eur mn eur mn,positive
diluted eps rose eur eur,positive
long vvus share call option w expiration umm today hitting hod,positive
return flight stuttgart every morning well evening departure thursday friday sunday,neutral
raute corporation received order worth eur million ooo ilim bratsk dok russia,positive
feeling quite positive region whole,positive
term agreement bunge acquire raisio keiju makuisa pyszny duet brand manufacturing plant finland poland,neutral
companiesab inbev signal go hostile sabmiller,positive
iso certification demonstrates moving forward quality commitment customer,positive
decision made whether group agrees import estonian meat meat product finland paper added,neutral
salcomp manufacturing oy pay eur million cash salcomp connection implementation sale transfer business,neutral
alexandria va dec united state patent issued dec assigned outotec oyj espoo finland,neutral
finnish solution provider affecto oyj hel afev said today slipped net loss eur usd second quarter profit eur corresponding period year earlier,negative
newly completed allure sea identical sister ship oasis sea completed last year world largest cruise ship,neutral
april cencorp not employee territory,neutral
based helsinki finland ramirent branch nordic central eastern european country,neutral
business sector building construction infrastructure construction technical building service,neutral
www countryelements co uk designed patricia burt one selection distinctive hooked rug created recycled material dyed natural dye,neutral
infection worry prompt regulatory review gilead leukaemia drug gild http co hvqxpzg via yahoofinance,negative
department store division sale fell eur mn,negative
significance teleste emphasised large size growing economy well rapid development tv service distribution industry poland viewed attractive market,positive
technopolis plan develop stage area le square meter order host company working computer technology telecommunication statement said,neutral
finland export industry form large clientele packaging industry,neutral
adp news oct finnish food company raisio oyj omx raivv said today net profit jumped eur million usd first nine month eur million period,positive
hear latest insight update citycon strategy well latest news business unit,neutral
xlf http stks co kj bounced target buy area bought skf hedge watch slope,negative
bhp billiton post big loss slash dividend,negative
sunk depth metre fixed bottom mud vacuum,neutral
device volume area decreased mn unit,neutral
sponda record profit sale mln euro mln,positive
berling capital umo capital veikko laine biggest shareholder amanda capital,neutral
trx http stks co kkk long setup macd cross,positive
according ultrascan software acquired cracker managed change mobile phone way phone able get hold one time password sent bank via text message,neutral
beginning negotiation estimated number reduction maximum,neutral
group business balanced broad portfolio sport presence major market,positive
elcoteq global service offering cover entire lifecycle product product development market service,neutral
pcln back back intraday reversal look short moving,negative
outotec scope delivery cover engineering supply special equipment service calcination plant two circulating fluid bed calciners,neutral
solidium hold per cent share solidium oy acquired per cent share tieto corporation approximately eur million,neutral
raute listed nordic exchange helsinki,neutral
spy still want higher think,positive
finnish forest industry group stora enso oyj issued thursday march profit warning first quarter,neutral
poyry good track record major transportation project latin america,positive
announcement pushed freenet share eur frankfurt trade eur investor gave hope united internet ag drillisch would pursue takeover breakup freenet,neutral
huhtamaki market biggest faller pct lower eur omx helsinki pct higher omx helsinki pct,negative
measure expected produce annual cost saving eur million starting,positive
annual general meeting approved yearly remuneration member board director shall remain eur chairman board eur deputy chairman board eur member board,neutral
sanoma magazine finland net sale grew eur mn eur mn,positive
ruukki order book end year year quarter quarter,positive
repurchase shall decrease distributable capital reserve,negative
pretax loss totalled eur mn compared profit eur mn,neutral
kior god market getting crushed today got ta hold anything g recover tomorrow imagine,negative
end march group order book eur mn corresponding period,positive
national conciliator juhani salonius met party wednesday said far apart view propose mediation,negative
metsaliitto said book minor gain le eur transaction,positive
known post bank concept would see fidelity bank rolling office ghana post premise provide financial service people,positive
uk ftse worst day far bg prudential fall,negative
finnish retail software developer aldata solution oyj reported net loss mln euro mln versus net profit mln euro mln,negative
lse deutsche bã¶rse dealmakers wrong ignore brexit risk,negative
aker yard finland begin using chinese subcontractor finnish shipyard,neutral
part development world class magnetite deposit karara known potential million metric ton annual processing magnetite estimated year life,neutral
glencore slump pct debt fear grow,negative
standard chartered not raising capital yet dividend cut,negative
sonc amazing run since middle march obvious quality tastiness burger not factored price advance,positive
air traffic finland stoppage since,negative
update engineering firm smith group confirms ceo appointment,neutral
worker àm ñl affected close,negative
karppinen expects consolidation trend continue finnish market,neutral
metso estimate need personnel reduction amount people,neutral
aapl aapl gundlach slam ipad mini see downside http stks co bdqv,negative
astrazeneca share climb drug maker ups profit forecast,positive
operating profit rose eur million,positive
eps improved eur eur,positive
insight hire aviva david hillier multi asset team,positive
center built kapuli district mantsala beside hanko mantsala porvoo road near new direct rail link lahti jarvenpaa,neutral
grew finland norway denmark baltic country,neutral
today bought mu yhoo vale nbl twtr axp znga http co vttzpis,positive
proline plus available adjustable single multichannel model fixed volume single channel model volume range micro litre ml,neutral
final outcome right offering reported around october,neutral
vaisala board director propose dividend euro per share company annual general meeting,neutral
body credit fall due february,neutral
liking price action swks currently target year end,positive
report also said nokia operation comprising site bochum ulm dusseldorf munich frankfurt posted operating profit interest mln eur,neutral
result company decided implement fixed term temporary lay offs,neutral
copper market may get style supply shock glencore closure,negative
according company updated strategy year basware target long term net sale growth range operating profit margin net sale,positive
scanfil holding include contract electronics manufacturer scanfil em group,neutral
dubai nokia announced launch come music ground breaking service introduces new way people enjoy music,positive
finnish metal component supplier componenta december applied approval turkish capital market board launch mandatory offer remaining share iron aluminium casting producer doktas dokumculuk,neutral
cost saving rise mln eur year oko said,positive
biohit vwr close cooperation number year u biohit one vwr focus supplier,positive
finnlines said deal part strategy focus core business,neutral
